1688297210.377497 client started (11719): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1688297210.377547 on Darwin 22.5.0 Darwin Kernel Version 22.5.0: Thu Jun  8 22:22:19 PDT 2023; root:xnu-8796.121.3~7/RELEASE_ARM64_T8103
1688297210.378392 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1688297210.384371 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384376 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384382 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384388 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384394 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384401 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384406 sending message 112 to peer 0x128048000 (8 bytes)
1688297210.384412 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384418 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384423 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384429 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384435 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384441 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384446 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384451 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384457 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384463 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384468 sending message 112 to peer 0x128048000 (8 bytes)
1688297210.384474 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384478 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384493 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384500 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384506 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384511 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384516 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384520 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384525 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384531 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384536 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.384542 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384548 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384553 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384559 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384565 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384571 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384578 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384582 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384588 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384594 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384600 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.384605 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384611 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384617 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384623 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384630 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.384635 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.384640 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.384646 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384652 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384659 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384666 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384673 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384677 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384683 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.384687 sending message 112 to peer 0x128048000 (11 bytes)
1688297210.384692 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384697 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384704 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384712 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384717 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384722 sending message 112 to peer 0x128048000 (11 bytes)
1688297210.384728 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384734 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384740 sending message 112 to peer 0x128048000 (13 bytes)
